tool,tool_type,catalog_desc,tool_material,diameter,corner_radius,length,flute_length,point_angle,point_length,taper_angle,num_flutes
NXT0302_001,Drilling Tool,Index. Insert Drill 15mm (880-D1500L20-05),"PVD (TI,AL)N",15.0,0.0,142.0,75.0,176.0,0.261906,,2.0
NXT0302_002,Drilling Tool,Index. Insert Drill 15.5mm (880-D1550L20-05),"PVD (TI,AL)N",15.5,0.0,145.0,78.0,176.0,0.270636,,2.0
NXT0302_003,Drilling Tool,Index. Insert Drill 16mm (880-D1600L20-05),"PVD (TI,AL)N",16.0,0.0,148.0,80.0,176.0,0.279366,,2.0
NXT0302_004,Drilling Tool,Index. Insert Drill 16.5mm (880-D1650L20-05),"PVD (TI,AL)N",16.5,0.0,151.0,83.0,176.0,0.288096,,2.0
NXT0302_005,Drilling Tool,Index. Insert Drill 17mm (880-D1700L20-05),"PVD (TI,AL)N",17.0,0.0,153.0,85.0,176.0,0.296827,,2.0
NXT0302_006,Drilling Tool,Index. Insert Drill 17.5mm (880-D1750L25-05),"PVD (TI,AL)N",17.5,0.0,163.0,88.0,176.0,0.305557,,2.0
NXT0302_007,Drilling Tool,Index. Insert Drill 18mm (880-D1800L25-05),"PVD (TI,AL)N",18.0,0.0,165.0,90.0,176.0,0.314287,,2.0
NXT0302_008,Drilling Tool,Index. Insert Drill 18.5mm (880-D1850L25-05),"PVD (TI,AL)N",18.5,0.0,168.0,93.0,176.0,0.323017,,2.0
NXT0302_009,Drilling Tool,Index. Insert Drill 19mm (880-D1900L25-05),"PVD (TI,AL)N",19.0,0.0,170.0,95.0,176.0,0.331747,,2.0
NXT0302_010,Drilling Tool,Index. Insert Drill 19.5mm (880-D1950L25-05),"PVD (TI,AL)N",19.5,0.0,174.0,98.0,176.0,0.340478,,2.0
NXT0302_011,Drilling Tool,Index. Insert Drill 20mm (880-D2000L25-05),"PVD (TI,AL)N",20.0,0.0,177.0,100.0,176.0,0.349208,,2.0
NXT0302_012,Drilling Tool,Index. Insert Drill 20.5mm (880-D2050L25-03),"PVD (TI,AL)N",20.5,0.0,138.0,62.0,176.0,0.357938,,2.0
NXT0302_013,Drilling Tool,Index. Insert Drill 21mm (880-D2100L25-05),"PVD (TI,AL)N",21.0,0.0,182.0,105.0,176.0,0.366668,,2.0
NXT0302_014,Drilling Tool,Index. Insert Drill 21.5mm (880-D2150L25-03),"PVD (TI,AL)N",21.5,0.0,142.0,65.0,176.0,0.375398,,2.0
NXT0302_015,Drilling Tool,Index. Insert Drill 22mm (880-D2200L25-03),"PVD (TI,AL)N",22.0,0.0,143.0,66.0,176.0,0.384128,,2.0
NXT0302_016,Drilling Tool,Index. Insert Drill 22.5mm (880-D2250L25-03),"PVD (TI,AL)N",22.5,0.0,146.0,68.0,176.0,0.392859,,2.0
NXT0302_017,Drilling Tool,Index. Insert Drill 23mm (880-D2300L25-05),"PVD (TI,AL)N",23.0,0.0,194.0,115.0,176.0,0.401589,,2.0
NXT0302_018,Drilling Tool,Index. Insert Drill 23.5mm (880-D2350L25-03),"PVD (TI,AL)N",23.5,0.0,149.0,71.0,176.0,0.410319,,2.0
NXT0302_019,Drilling Tool,Index. Insert Drill 24mm (880-D2400L25-05),"PVD (TI,AL)N",24.0,0.0,199.0,120.0,176.0,0.419049,,2.0
NXT0302_020,Drilling Tool,Index. Insert Drill 24.5mm (880-D2450L25-03),"PVD (TI,AL)N",24.5,0.0,153.0,74.0,176.0,0.427779,,2.0
NXT0302_021,Drilling Tool,Index. Insert Drill 25mm (880-D2500L25-05),"PVD (TI,AL)N",25.0,0.0,205.0,125.0,176.0,0.43651,,2.0
NXT0302_022,Drilling Tool,Index. Insert Drill 25.5mm (880-D2550L25-03),"PVD (TI,AL)N",25.5,0.0,156.0,77.0,176.0,0.44524,,2.0
